"Step","[No Pretraining]SafeLTAPPO-JSQDiscreteActor_N2S3_TRAIN_20230726-130159 - rollout_summary/mean_backlog","[No Pretraining]SafeLTAPPO-JSQDiscreteActor_N2S3_TRAIN_20230726-130159 - rollout_summary/mean_backlog__MIN","[No Pretraining]SafeLTAPPO-JSQDiscreteActor_N2S3_TRAIN_20230726-130159 - rollout_summary/mean_backlog__MAX"
"30968","2.3359375","2.3359375","2.3359375"
"31521","2.8671875","2.8671875","2.8671875"
"32074","2.27734375","2.27734375","2.27734375"
"32627","2.021484375","2.021484375","2.021484375"
"33180","3.126953125","3.126953125","3.126953125"
"33733","2.59375","2.59375","2.59375"
"34286","2.119140625","2.119140625","2.119140625"
"34839","2.638671875","2.638671875","2.638671875"
"35392","2.1171875","2.1171875","2.1171875"
"35945","2.267578125","2.267578125","2.267578125"
"36498","3.27734375","3.27734375","3.27734375"
"37051","2.517578125","2.517578125","2.517578125"
"37604","2.638671875","2.638671875","2.638671875"
"38157","2.427734375","2.427734375","2.427734375"
"38710","2.18359375","2.18359375","2.18359375"
"39263","2.3671875","2.3671875","2.3671875"
"39816","2.435546875","2.435546875","2.435546875"
"40369","2.58203125","2.58203125","2.58203125"
"40922","3.11328125","3.11328125","3.11328125"
"41475","2.30078125","2.30078125","2.30078125"
"42028","2.19140625","2.19140625","2.19140625"
"42581","3.142578125","3.142578125","3.142578125"
"43134","1.9765625","1.9765625","1.9765625"
"43687","2.392578125","2.392578125","2.392578125"
"44240","2.716796875","2.716796875","2.716796875"
"44793","3.1640625","3.1640625","3.1640625"
"45346","2.384765625","2.384765625","2.384765625"
"45899","1.921875","1.921875","1.921875"
"46452","2.935546875","2.935546875","2.935546875"
"47005","2.134765625","2.134765625","2.134765625"
"47558","2.341796875","2.341796875","2.341796875"
"48111","2.294921875","2.294921875","2.294921875"
"48664","2.703125","2.703125","2.703125"
"49217","2.26953125","2.26953125","2.26953125"
"49770","2.791015625","2.791015625","2.791015625"
"50323","2.708984375","2.708984375","2.708984375"
"50876","2.224609375","2.224609375","2.224609375"
"51429","2.369140625","2.369140625","2.369140625"
"51982","2.341796875","2.341796875","2.341796875"
"52535","2.390625","2.390625","2.390625"
"53088","2.8125","2.8125","2.8125"
"53641","2.3125","2.3125","2.3125"
"54194","2.78125","2.78125","2.78125"
"54747","2.615234375","2.615234375","2.615234375"
"55300","2.091796875","2.091796875","2.091796875"
"55853","2.673828125","2.673828125","2.673828125"
"56406","2.283203125","2.283203125","2.283203125"
"56959","2.109375","2.109375","2.109375"
"57512","2.728515625","2.728515625","2.728515625"
"58065","2.181640625","2.181640625","2.181640625"
"58618","2.29296875","2.29296875","2.29296875"
"59171","2.607421875","2.607421875","2.607421875"
"59724","2.001953125","2.001953125","2.001953125"
"60277","2.37109375","2.37109375","2.37109375"
"60830","1.876953125","1.876953125","1.876953125"
"61383","2.27734375","2.27734375","2.27734375"
"61936","2.578125","2.578125","2.578125"
"62489","2.779296875","2.779296875","2.779296875"
"63042","2.52734375","2.52734375","2.52734375"
"63595","2.74609375","2.74609375","2.74609375"
"64148","3.263671875","3.263671875","3.263671875"
